CustomerID;Age;MaritalStatus;NumberChildren AtHome;YearlyIncome;BikeBuyer;AvgMonthSpend;Savingscapacity;BikeBuyerText
21173;29;1;0;81916;1;50.97;81304.36;YES
13249;45;1;1;81076;1;53.11;80438.68;YES
29350;31;2;0;86387;1;54.08;85738.04;YES
13503;39;1;1;61481;1;56.93;60797.84;YES
22803;42;2;0;51804;1;55.41;51139.08;YES
22092;42;1;2;61944;1;49.31;61352.28;YES
11229;45;2;0;34919;0;56.01;34246.88;NO
24179;20;1;0;61832;1;49.29;61240.52;YES
12127;40;1;0;83834;1;50.05;83233.4;YES
19903;40;2;0;26880;0;54.15;26230.2;NO
25924;18;2;0;77258;0;54.02;76609.76;NO
23033;36;1;0;102698;0;58.29;101998.52;NO
20029;32;1;1;108198;1;52.66;107566.08;YES
22031;57;1;0;133762;0;52.5;133132;NO
23770;26;2;0;30526;0;49.61;29930.68;NO
23737;46;1;0;56353;1;49.04;55764.52;YES
17127;52;2;1;79019;1;50.48;78413.24;YES
28130;24;2;0;55387;1;51;54775;YES
28455;36;1;0;113276;0;58.69;112571.72;NO
20161;54;2;0;109259;0;52.3;108631.4;NO
21325;37;1;0;83845;0;50.38;83240.44;NO
12128;40;1;2;59527;1;53.22;58888.36;YES
23679;55;2;0;108360;0;51.88;107737.44;NO
26799;20;1;0;87504;0;49.72;86907.36;NO
15726;24;1;0;55461;1;48.76;54875.88;YES
15473;28;2;0;137464;1;52.03;136839.64;YES
28685;27;1;0;87676;1;49.89;87077.32;YES
12302;51;1;0;104187;1;51.15;103573.2;YES
23523;34;2;0;78222;1;53.53;77579.64;YES
18713;30;1;0;77383;0;50.59;76775.92;NO
24082;32;1;2;60700;1;49.29;60108.52;YES
27886;36;2;0;30913;0;49;30325;NO
21711;38;2;0;86952;1;54.71;86295.48;YES
22366;39;1;1;58567;1;55.64;57899.32;YES
15010;19;1;0;77478;0;50.55;76871.4;NO
22296;29;1;0;78406;0;50.16;77804.08;NO
23237;26;2;0;85318;0;51.02;84705.76;NO
13832;21;2;0;52928;1;52.17;52301.96;YES
26026;30;2;0;79224;1;52.31;78596.28;YES
17813;34;1;0;33076;1;53.13;32438.44;YES
26369;31;1;0;56641;0;48.89;56054.32;NO
18824;35;1;0;27203;0;52.46;26573.48;NO
21064;30;2;0;77098;0;50.21;76495.48;NO
28532;28;1;2;103200;1;53.97;102552.36;YES
16183;32;2;0;53784;0;50.85;53173.8;NO
25700;43;2;0;25826;0;47.53;25255.64;NO
21746;35;1;1;30925;1;50.48;30319.24;YES
26560;46;1;1;30288;0;50.57;29681.16;NO
16988;32;2;0;34685;1;48.1;34107.8;YES
18562;28;1;1;58213;1;51.99;57589.12;YES
14996;21;2;0;108342;1;51.43;107724.84;YES
26741;30;1;1;130385;1;55.52;129718.76;YES
19490;32;2;0;58227;1;50.76;57617.88;YES
12720;22;2;0;52156;1;47.68;51583.84;YES
14050;31;2;0;131458;1;57.1;130772.8;YES
11926;19;2;0;33510;0;46.25;32955;NO
28023;51;2;0;56785;0;51.34;56168.92;NO
22541;23;2;0;58201;0;51.29;57585.52;NO
23192;32;1;0;82359;1;49.64;81763.32;YES
24957;52;1;1;55654;1;50.98;55042.24;YES
11867;37;1;1;33167;0;58.85;32460.8;NO
11929;51;2;0;107883;1;52.81;107249.28;YES
27994;60;1;2;80056;1;53.16;79418.08;YES
21068;32;2;0;54577;1;49.8;53979.4;YES
26332;30;1;1;36070;1;59.05;35361.4;YES
20232;33;1;1;54049;1;54.19;53398.72;YES
15029;18;2;0;112726;0;55.8;112056.4;NO
28907;46;1;0;29749;0;48.95;29161.6;NO
11887;39;1;2;56820;1;55.26;56156.88;YES
16809;47;2;0;102647;1;51.75;102026;YES
18033;21;2;0;82258;1;51.48;81640.24;YES
